Feature,Feature Systematic Name,Feature Type,Coordinates,Start,End,Strand,essential_or_not,Feature Systematic Name
TEL01L,TEL01L,telomere,1-801,1,801,-,not essential,TEL01L
YAL069W,YAL069W,ORF,335-649,335,649,+,not essential,YAL069W
YAL068W-A,YAL068W-A,ORF,538-792,538,792,+,not essential,YAL068W-A
ARS102,ARS102,ARS,707-776,707,776,0,not essential,ARS102
PAU8,YAL068C,ORF,1807-2169,1807,2169,-,not essential,YAL068C
YAL067W-A,YAL067W-A,ORF,2480-2707,2480,2707,+,not essential,YAL067W-A
SEO1,YAL067C,ORF,7235-9016,7235,9016,-,not essential,YAL067C
ARS103,ARS103,ARS,7997-8547,7997,8547,0,not essential,ARS103
YAL066W,YAL066W,ORF,10091-10399,10091,10399,+,not essential,YAL066W
YAL065C,YAL065C,ORF,11565-11951,11565,11951,-,not essential,YAL065C
YAL064W-B,YAL064W-B,ORF,12046-12426,12046,12426,+,not essential,YAL064W-B
TDA8,YAL064C-A,ORF,13363-13743,13363,13743,-,not essential,YAL064C-A
YAL064W,YAL064W,ORF,21566-21850,21566,21850,+,not essential,YAL064W
YALWdelta1,YALWdelta1,long terminal repeat,22230-22552,22230,22552,+,not essential,YALWdelta1
YAL063C-A,YAL063C-A,ORF,22395-22685,22395,22685,-,not essential,YAL063C-A
FLO9,YAL063C,ORF,24000-27968,24000,27968,-,not essential,YAL063C
ARS104,ARS104,ARS,30946-31183,30946,31183,0,not essential,ARS104
GDH3,YAL062W,ORF,31567-32940,31567,32940,+,not essential,YAL062W
BDH2,YAL061W,ORF,33448-34701,33448,34701,+,not essential,YAL061W
BDH1,YAL060W,ORF,35155-36303,35155,36303,+,not essential,YAL060W
YAL059C-A,YAL059C-A,ORF,36496-36918,36496,36918,-,not essential,YAL059C-A
ECM1,YAL059W,ORF,36509-37147,36509,37147,+,not essential,YAL059W
CNE1,YAL058W,ORF,37464-38972,37464,38972,+,not essential,YAL058W
YAL056C-A,YAL056C-A,ORF,38696-39046,38696,39046,-,not essential,YAL056C-A
GPB2,YAL056W,ORF,39259-41901,39259,41901,+,not essential,YAL056W
ARS105,ARS105,ARS,41992-42151,41992,42151,0,not essential,ARS105
PEX22,YAL055W,ORF,42177-42719,42177,42719,+,not essential,YAL055W
ACS1,YAL054C,ORF,42881-45022,42881,45022,-,not essential,YAL054C
FLC2,YAL053W,ORF,45899-48250,45899,48250,+,not essential,YAL053W
OAF1,YAL051W,ORF,48564-51707,48564,51707,+,not essential,YAL051W
